Eco_Reserve,Location,Transect,Plot,Latitude,Longitude,Elevation,Slope,Aspect,Forest_Type,Harvest_History,Age_DBH,Live_Basal_Area,Live_TPH,Large_Live_TPH,Very_Large_Live_TPH,Standing_Dead_TPH,Large_Standing_Dead_TPH,Very_Large_Standing_Dead_TPH,DCWD_Volume,Large_DCWD_Volume
Bigelow,NA,5,5,45.12713408,-70.3184253,538,12,280,120,1,61,48.15565157,892.2549739,0,0,0,0,0,100.5517496,0
Bigelow,NA,2,6,45.16160076,-70.30753975,535,22,326,120,1,108,45.48915438,1011.222304,69.35985893,9.876194003,59.48366492,0,0,15.2236586,0
Bigelow,NA,2,1,45.17102251,-70.29912724,427,5,26,800,5,110,39.40693766,475.8693194,118.9673298,0,0,0,0,29.34763983,0
Salmon Brook Lake,NA,1,1,46.90597811,-68.24984275,211,0,0,120,5,111,71.27170981,1606.058953,0,0,416.3856545,0,0,84.9844418,0
Salmon Brook Lake,NA,1,2,46.90375889,-68.24900713,212,0,0,120,1,118,52.67056071,1427.607958,59.48366492,0,178.4509948,0,0,65.63699306,0
Salmon Brook Lake,NA,1,3,46.90162107,-68.24823609,211,0,0,120,1,NA,22.44835942,832.7713089,0,0,0,0,0,101.8232515,0
Salmon Brook Lake,NA,1,4,46.89972715,-68.24760611,210,0,0,120,0,85,16.79057901,832.7713089,0,0,0,0,0,0,0
Salmon Brook Lake,NA,1,5,46.89750288,-68.24737466,210,47,0,120,1,77,16.14586563,297.4183246,0,0,118.9673298,0,0,138.7999031,0
Salmon Brook Lake,NA,1,6,46.895644,-68.24659986,210,1,70,120,5,136,80.31610422,1546.575288,59.48366492,0,237.9346597,0,0,99.58953187,0
Salmon Brook Lake,NA,2,1,46.90474015,-68.24359691,210,0,0,120,5,29,34.93991484,1308.640628,0,0,59.48366492,0,0,5.807671113,0
Salmon Brook Lake,NA,2,3,46.90271439,-68.23801901,210,0,0,120,5,98,27.12935234,773.287644,0,0,237.9346597,0,0,114.2977167,0
Salmon Brook Lake,NA,2,4,46.90178649,-68.23516992,210,0,0,120,1,94,30.30564028,1070.705969,0,0,416.3856545,0,0,61.20391866,0
Salmon Brook Lake,NA,2,5,46.90075972,-68.2323486,209,0,0,120,0,91,17.49887608,535.3529843,0,0,297.4183246,0,0,140.3119595,0
Salmon Brook Lake,NA,2,6,46.89970625,-68.22958029,210,0,0,900,1,85,14.65087807,416.3856545,0,0,118.9673298,0,0,107.5278279,0
Salmon Brook Lake,NA,3,1,46.91174412,-68.21987401,215,3,120,120,1,56,29.20579662,713.8039791,0,0,59.48366492,0,0,0,0
Salmon Brook Lake,NA,3,2,46.9096341,-68.21924806,211,6,115,120,0,53,31.40875422,535.3529843,118.9673298,0,0,0,0,4.158155058,0
Salmon Brook Lake,NA,3,3,46.90597412,-68.21962946,210,5,193,120,0,83,29.79697076,1249.156963,0,0,297.4183246,0,0,120.1397527,0
Spring River Lake,NA,1,1,44.6375923,-68.09737162,234,73,190,120,0,82,46.44739469,1308.640628,0,0,118.9673298,0,0,9.965826171,0
Spring River Lake,NA,1,2,44.6355151,-68.09653386,173,15,262,120,5,85,27.31155395,535.3529843,0,0,118.9673298,0,0,28.9008959,0
Spring River Lake,NA,1,3,44.63346059,-68.09628837,145,8,135,120,0,86,38.47257043,832.7713089,0,0,416.3856545,0,0,29.82874868,0
